Product_Name,Brand,Rating,Ratings_Count,Ingredients,Category,product_id
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Caprylic/Capric Triglyceride,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Butylene Glycol,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Glycerin,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Coenzyme A,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Coco-Caprylate/Caprate,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Colloidal Oatmeal,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Phytic Acid,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Phenylethyl Resorcinol,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Fructooligosaccharides,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Hyaluronic Acid,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Citrus Medica Limonum,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Sodium Oleate,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Alcohol,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Hydrogenated Lecithin,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Citrus Aurantifolia,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Sodium Benzoate,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Sodium Hydroxide,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Aminomethyl Propanol,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Polysorbate 20,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Allantoin,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Hamamelis Virginiana,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Anthemis Nobilis,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Aloe Barbadensis,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Oligopeptide-68,"Serums, Essence & Ampoules",5817
Super Whitening & Brightening Pigment Serum Rx,RejuvAus,0.0,0,Microcitrus Australasica Fruit Extract,"Serums, Essence & Ampoules",5817
